embedding,reduction,algo,k,params,silhouette,davies_bouldin,calinski_harabasz,n_clusters,noise,noise_rate,silhouette_core,davies_bouldin_core,calinski_harabasz_core,n_labeled,score_for_rank
all-MiniLM-L6-v2,none,KMeans,4.0,{'n_clusters': 4},0.06272844225168228,4.053272336610152,893.7931518554688,4.0,0.0,0.0,,,,,0.06272844225168228
all-MiniLM-L6-v2,none,Agglomerative,4.0,{'n_clusters': 4},0.061381347477436066,3.3863826081354462,710.1244506835938,4.0,0.0,0.0,,,,,0.061381347477436066
all-MiniLM-L6-v2,none,Spectral,4.0,"{'n_clusters': 4, 'affinity': 'nearest_neighbors'}",0.06689091771841049,0.8682702128576804,91.303955078125,4.0,0.0,0.0,,,,,0.06689091771841049
all-MiniLM-L6-v2,none,GMM,4.0,{'n_components': 4},0.06478376686573029,4.197630358285165,864.38623046875,4.0,0.0,0.0,,,,,0.06478376686573029
all-MiniLM-L6-v2,none,KMeans,6.0,{'n_clusters': 6},0.024641308933496475,4.345640318851021,666.531494140625,6.0,0.0,0.0,,,,,0.024641308933496475
all-MiniLM-L6-v2,none,Agglomerative,6.0,{'n_clusters': 6},0.05084821209311485,4.150579195974482,540.6361694335938,6.0,0.0,0.0,,,,,0.05084821209311485
all-MiniLM-L6-v2,none,Spectral,6.0,"{'n_clusters': 6, 'affinity': 'nearest_neighbors'}",0.03411910682916641,1.392194087539817,67.17359161376953,6.0,0.0,0.0,,,,,0.03411910682916641
all-MiniLM-L6-v2,none,GMM,6.0,{'n_components': 6},0.022215357050299644,4.546069603909918,647.7118530273438,6.0,0.0,0.0,,,,,0.022215357050299644
all-MiniLM-L6-v2,none,KMeans,8.0,{'n_clusters': 8},0.029770586639642715,4.119670010330885,560.4579467773438,8.0,0.0,0.0,,,,,0.029770586639642715
all-MiniLM-L6-v2,none,Agglomerative,8.0,{'n_clusters': 8},0.017256082966923714,4.221962639709794,444.6239013671875,8.0,0.0,0.0,,,,,0.017256082966923714
all-MiniLM-L6-v2,none,Spectral,8.0,"{'n_clusters': 8, 'affinity': 'nearest_neighbors'}",0.03272629529237747,1.2853310140280814,60.34181213378906,8.0,0.0,0.0,,,,,0.03272629529237747
all-MiniLM-L6-v2,none,GMM,8.0,{'n_components': 8},0.028206441551446915,4.212649507798867,551.0355834960938,8.0,0.0,0.0,,,,,0.028206441551446915
all-MiniLM-L6-v2,none,KMeans,10.0,{'n_clusters': 10},0.03225966915488243,4.18791237824183,477.838623046875,10.0,0.0,0.0,,,,,0.03225966915488243
all-MiniLM-L6-v2,none,Agglomerative,10.0,{'n_clusters': 10},0.018275927752256393,3.990383284769398,385.503662109375,10.0,0.0,0.0,,,,,0.018275927752256393
all-MiniLM-L6-v2,none,Spectral,10.0,"{'n_clusters': 10, 'affinity': 'nearest_neighbors'}",0.032283470034599304,1.1764567098942125,58.62123107910156,10.0,0.0,0.0,,,,,0.032283470034599304
all-MiniLM-L6-v2,none,GMM,10.0,{'n_components': 10},0.031058169901371002,4.252861778392285,471.53948974609375,10.0,0.0,0.0,,,,,0.031058169901371002
all-MiniLM-L6-v2,none,KMeans,12.0,{'n_clusters': 12},0.03297653794288635,3.9950805235818923,421.8895568847656,12.0,0.0,0.0,,,,,0.03297653794288635
all-MiniLM-L6-v2,none,Agglomerative,12.0,{'n_clusters': 12},0.019216293469071388,4.1443441895040385,344.9162902832031,12.0,0.0,0.0,,,,,0.019216293469071388
