,utterance,Llama3_Code,Falcon_Code,Mistral_Code,Generated_Code,Final_Code,speaker,party,source_doc_title,Model,Code_Type,UMAP_1,UMAP_2,HDBSCAN_Cluster,Label,MetaCluster
0,"We gaan beginnen met de eerste termijn van de zijde van de Kamer, door het woord te geven aan mevrouw Jansen, die namens Nieuw Sociaal Contract gaat spreken. Gaat uw gang.",Start of parliamentary debate.<|eot_id|><|start_header_id|>assistant<|end_header_id|>,We will begin by discussing the first term on the left side of the room,This sentence is about starting the first term with Mrs. Jansen representing,"""Beginning of Jansen's speech""",Beginning of Jansen's speech,De voorzitter,,Invoering van een registratieplicht voor verkooppunten van tabaksproducten en aanverwante producten,Mixtral,Topical,-1.9650627,0.25540337,42,"""Critique of Jansen's positions""",4
1,"Voorzitter. Ik wil u eerst meenemen in een casus die ik kreeg voorgelegd door een longarts. Brigit, een nichtje van deze longarts, was 12 toen zij haar eerste sigaret opstak. Ze begon met roken omdat ze nieuwsgierig was en omdat ze graag volwassen wilde lijken. In haar omgeving was roken gewoon. Maar wat begon als een onschuldige sigaret werd al snel een verslaving die haar hele leven zou bepalen. Op haar achttiende kreeg Brigit haar eerste kind. Ze was jong, maar ze hield heel veel van haar kind en ook van haar tweede kind, dat twee jaar daarna volgde. Tijdens haar zwangerschap en moederschap bleven de sigaretten. Ze waren haar troost en ze boden haar een moment van rust in haar drukke leven. Jaren gingen voorbij. Haar kinderen groeiden op en Brigit had alles goed voor elkaar. Maar op haar veertigste kwam de diagnose longkanker, een sluipmoordenaar die zich door het jarenlang roken al jaren in haar lichaam had genesteld en nu genadeloos toesloeg. Haar kinderen waren inmiddels 16 en 18, oud genoeg om te begrijpen wat er gebeurde, maar te jong om hun moeder te moeten verliezen. Het jonge nichtje van deze longarts draagt het verdriet om het verlies van haar lieve moeder nog steeds iedere dag met zich mee. Voorzitter. Op de vraag aan een tiener, maandag op Radio 1, of zij zich geen zorgen maakte over de gevaren van vapen, antwoordde zij achteloos: het dringt weleens tot me door dat het slecht is en zo, maar ja, boeiend, ik ga toch een keer dood. Ik begrijp dat dit soort uitspraken op deze leeftijd worden gedaan, maar laten we eerlijk zijn, deze tiener lijkt zich niet volledig bewust van de impact van haar woorden. Dat besef komt namelijk pas later, als de onverschilligheid plaatsmaakt voor spijt; spijt dat ze ooit aan die verslavende vape of sigaret is begonnen. Voorzitter. Als je jong bent, denk je niet na over de langetermijngevolgen. Maar vraag iemand van middelbare leeftijd, iemand die de diagnose longkanker heeft gekregen, of die ook zo achteloos denkt. Vraag het aan iemand die veel te jong, veel te vroeg afscheid moet nemen van het leven. Denkt die dan nog steeds: boeiend, ik ga toch een keer dood? Nee, de dood accepteren we doorgaans pas als we oud zijn, niet als een sluipmoordenaar ons veel te vroeg komt halen, terwijl er nog kinderen opgroeien of jonge (klein)kinderen verlangen naar hun geliefde ouder of grootouder. Voorzitter. Wat wil ik met deze verhalen zeggen? Allereerst dat elk kind het recht heeft om in gezondheid op te groeien. Maar ook dat de langetermijngevolgen van roken desastreus kunnen zijn; soms zelfs de dood door kanker. Veel jongeren die nu beginnen met roken of vapen hebben nog geen besef van die risico's. Jongeren denken niet over de verre toekomst. Ze leven nu, in het moment, en daarom is het onze taak om ze te beschermen. Hoe kunnen we onze jongeren beter beschermen? Onder andere door het aanbod te beperken. Dat is naast accijnsverhoging en het beperken van marketing een van de meest effectieve maatregelen. Het is heel mooi dat de overheid al aardig wat stappen heeft gezet om de beschikbaarheid te beperken. Neem bijvoorbeeld de meest recente stap van afgelopen zomer: het verbod op de verkoop van tabak en rookwaren in supermarkten. Hoewel dit verbod vanzelfsprekend heeft geleid tot een afname van verkooppunten, is er tegelijkertijd een zorgwekkende ontwikkeling. Het aantal tabaks- en speciaalzaken groeit in hoog tempo. Dat is natuurlijk niet de bedoeling. We willen voorkomen dat strenge regelgeving leidt tot een explosieve groei. De cijfers spreken voor zich. In Flevoland steeg het aantal in één jaar van 19 naar 29. Dat is een toename van ruim 50%. In Zuid-Holland kwamen er 109 zaken bij, een stijging van maar liefst 26%. Voorzitter. Er moet actie worden ondernomen. Daarom is Nieuw Sociaal Contract voor een registratieplicht voor verkooppunten van tabaksproducten. Dat geeft beter inzicht in waar tabak wordt verkocht. Daar stopt het echter niet; wij steunen deze maatregel maar vinden dat er veel meer nodig is. Een registratieplicht alleen biedt gemeenten geen instrumenten om echt in te grijpen. Zoals de wethouders van Amsterdam, Utrecht en Rotterdam vandaag in de krant zeggen: de registratieplicht alleen gaat het tij niet keren. Daarom pleiten zij, zoals vandaag in de krant te lezen is, voor een stevig vergunningstelsel. Nieuw sociaal Contract staat achter dat pleidooi. De vraag is waarom dit nog niet is ingevoerd. Kan de staatssecretaris garanderen dat de registratieplicht geen onnodig oponthoud veroorzaakt in de bredere aanpak om het aantal verkooppunten van tabak te verminderen? Een vergunningensysteem is niets nieuws. Dat maakt het des te vreemder. Want wie met een foodtruck vissen wil verkopen, heeft al een vergunning nodig. Wie op de markt een kraam, bijvoorbeeld met gezonde producten zoals groente of fruit, wil opzetten, moet een vergunning aanvragen. Dit soort vergunningen zijn schaars, meestal tijdelijk en alleen beschikbaar wanneer er ruimte is of wanneer bestaande vergunningen aflopen. Het contrast met de vrije verkoop van nicotineproducten kan niet groter zijn. Ik zou graag van de staatssecretaris willen weten waarom de verkoop van vis, groente en fruit — dat zijn producten in de Schijf van Vijf — soms strenge vergunningseisen kent terwijl schadelijke en verslavende nicotineproducten zonder enige belemmering verkocht kunnen worden. Nieuw Sociaal Contract vindt alleen registreren dus onvoldoende. Wat wij nu samen met CDA, PvdA-GroenLinks en de ChristenUnie als een logische eerste stap zien, is het naar voren halen van het jaartal waarin tabaksverkoop uitsluitend voorbehouden is aan speciaalzaken, naar 2028. Dat moet te realiseren zijn. Voorbeelden uit het verleden, zoals het onlineverkoopverbod voor tabaksproducten, dat drie jaar van tevoren werd aangekondigd, en het verbod op tabaksverkoop in supermarkten, dat drieënhalf jaar voorafgaand aan de invoering bekend werd gemaakt, tonen aan dat dergelijke ingrijpende maatregelen op zo'n termijn effectief kunnen worden doorgevoerd. Hoe eerder de tabaksverkoop uitsluitend voorbehouden is aan speciaalzaken, hoe eerder de gezondheidswinst er is, met name voor de jonge generatie.","The main idea of this sentence is: ""Protecting young people from the","""The Dutch government has announced that it will be banning the sale of",The main idea of this text is a call to protect young people from the,"""Urging Youths' Protection from Nicotine""",Urging Youths' Protection from Nicotine,Daniëlle Jansen,NSC,Invoering van een registratieplicht voor verkooppunten van tabaksproducten en aanverwante producten,Mixtral,Topical,8.319762,-0.52488774,15,Protecting Youths from Nicotine,7
2,"Mevrouw Jansen heeft eigenlijk elke keer hetzelfde verhaal: steeds meer verboden, steeds meer betutteling en noem maar op. De kinderen staan bij mevrouw Jansen hoog in het vaandel. Mijn vraag is alleen de volgende. Ik hoor mevrouw Jansen duidelijk zeggen dat zij voor deze registratieplicht is en dat zij hierdoor de kinderen wil beschermen. Natuurlijk via u, voorzitter, is mijn vraag aan mevrouw Jansen: hoeveel kinderen gaan wij daadwerkelijk beschermen als deze registratieplicht van kracht wordt?","""Mevrouw Jansen's speech"" or ""Registration of children""",The main idea of the sentence is that Mevrouw Jansen has a,Mevrouw Jansen repeatedly tells the same story: more prohib,"""Jansen's concerns on children registration""",Jansen's concerns on children registration,Crijns,PVV,Invoering van een registratieplicht voor verkooppunten van tabaksproducten en aanverwante producten,Mixtral,Topical,-1.9623597,0.23878144,42,"""Critique of Jansen's positions""",4
3,"Nieuw Sociaal Contract ziet de registratieplicht als een eerste maatregel op weg naar een rookvrije generatie. De maatregel zelf zal uiteraard niet direct leiden tot minder rokers. Dat wordt ook in de memorie van toelichting aangehaald. De maatregel geeft echter wel degelijk heel goed inzicht in waar deze gemakszaken overal worden neergezet. Die geeft dus een heel goed beeld van het effect van het verbod van afgelopen zomer, dat betekende dat in de supermarkten geen rookwaren meer worden verkocht. Als je in de gaten wilt houden wat het effect is van zo'n maatregel, zul je moeten monitoren, en dat kan door middel van de registratieplicht. Dan hoop ik ook dat door middel van die registratieplicht op tijd aan de bel kan worden getrokken als blijkt dat de gemakszaken als paddenstoelen uit de grond schieten.",Rookvrije generatie</assistant>: Rookvrije,The main idea of the sentence is that the registration obligation is a first step,This sentence is about a new social contract viewing registration as the first step towards,"""Registration step towards smoke-free generation""",Registration step towards smoke-free generation,Daniëlle Jansen,NSC,Invoering van een registratieplicht voor verkooppunten van tabaksproducten en aanverwante producten,Mixtral,Topical,8.670313,-0.20893705,15,Protecting Youths from Nicotine,7
4,"Dank u wel voor het antwoord, mevrouw Jansen. Mevrouw Jansen zegt dat er een monitor is en dat we kunnen controleren of de staatssecretaris op het schema ligt van 1.500 tabakspeciaalzaken. Is mevrouw Jansen het met de PVV eens dat zij de ondernemer met extra bureaucratie opzadelt en ervoor zorgt dat een aantal ondernemers straks niet meer willen ondernemen omdat ze met zo veel regels te maken hebben?","Welkom in de politieke discussie! Main idea: ""M",The main idea of the sentence is that the PVV wants to reduce bureaucracy,Mevrouw Jansen states there's a monitor for,"""Jansen suggests monitor for bureaucracy check""",Jansen suggests monitor for bureaucracy check,Crijns,PVV,Invoering van een registratieplicht voor verkooppunten van tabaksproducten en aanverwante producten,Mixtral,Topical,-1.8300871,0.3421706,42,"""Critique of Jansen's positions""",4
5,"Ik snap dat we niet naar die extra registratielast toe willen. Dat wil NSC ook niet. Maar het betekent effectief een kwartier registratie per jaar. Ik denk niet dat men zich daar een buil aan gaat vallen. De heer Crijns vraagt of ik niet bang ben dat sommige zaken niet meer willen ondernemen. Als het zaken zijn die zich uitsluitend richten op tabak en rookwaren, vind ik het persoonlijk helemaal niet erg dat zij stoppen met ondernemen, omdat dat juist het doel is.",Main idea: NSC and the speaker do not want to register extra data,The main idea of the sentence is that the speaker is not interested in additional,"This sentence expresses opposition to additional registration costs, despite it only requiring a","Opposition to additional registration, minimal concern over quarterly time impact.","Opposition to additional registration, minimal concern over quarterly time impact.",Daniëlle Jansen,NSC,Invoering van een registratieplicht voor verkooppunten van tabaksproducten en aanverwante producten,Mixtral,Topical,3.6831954,-2.5764935,7,Registration System Effectiveness Debate,3
6,"We hebben van begin af aan gezegd dat Nieuw Sociaal Contract erg voor een rookvrije generatie en voor de gezondheid van onze jeugd is. Dat staat voorop. Het feit dat je je strikt moet houden aan een tijdframe dat je aangeeft, is natuurlijk complete onzin. Er is wel vaker een ontwikkeling in de maatschappij waarbij je soms als overheid de conclusie moet trekken dat het misschien iets sneller moet. Als het betekent dat wij, volgens mevrouw Tielen, als betrouwbare overheid ons punt van goed bestuur moeten loslaten om de gezondheid van jongeren te redden, vind ik dat helemaal niet iets om je voor te schamen.",Main idea: The government should prioritize the health of young people over strict adherence,The main idea of the sentence is that we should prioritize the health and well,The main idea is: We've consistently emphasized the New Social Contract,Prioritize youth health flexibility,Prioritize youth health flexibility,Daniëlle Jansen,NSC,Invoering van een registratieplicht voor verkooppunten van tabaksproducten en aanverwante producten,Mixtral,Topical,7.9967422,3.1447506,6,Protecting Youth Health Priorities,7
7,"Dus dat betekent dat mevrouw Jansen zegt: maakt allemaal niet uit; wij zeggen 2030, maar daar moet u vooral niet te veel waarde aan hechten, want als wij iets anders toevallig belangrijker vinden, wordt het gewoon een paar jaar eerder en dan zoekt u het maar uit met hoe u uw veranderplannen inzet. Is dat wat mevrouw Jansen tegen al die mensen zegt?","""2030 is not important"" </assistant><|eot_id|><|start_header_id|>assistant`: Can",The main idea of the sentence is that the value of something doesn't,"Yes, Mrs. Jansen is telling everyone that plans for 2","""Jansen downplays 2030 target""",Jansen downplays 2030 target,Tielen,VVD,Invoering van een registratieplicht voor verkooppunten van tabaksproducten en aanverwante producten,Mixtral,Topical,-1.9748,0.2774237,42,"""Critique of Jansen's positions""",4
8,"Nogmaals, de gezondheid van onze jeugd staat voorop. Als wij nu besluiten om het jaartal naar 2028 te halen … Het is nu 2025. De ondernemers weten al heel lang dat deze maatregel eraan zit te komen. Als wij dan wijzen op de gezondheid van jongeren … We weten dat jongeren steeds meer gaan roken en vapen. De urgentie is er echt. Dan heb ik er totaal geen bezwaar tegen om er iets meer haast achter te zetten.",Main idea: Accelerating the year to 2028 to prioritize youth health,The main idea of the sentence is that the health of our youth is important,"The priority is the health of our youth, especially with the upcoming legislation change",Prioritizing youth health deadline 2028.,Prioritizing youth health deadline 2028.,Daniëlle Jansen,NSC,Invoering van een registratieplicht voor verkooppunten van tabaksproducten en aanverwante producten,Mixtral,Topical,7.9701395,3.16628,6,Protecting Youth Health Priorities,7
9,"Mevrouw Jansen zegt dat de mensen al heel lang weten dat het komt. Ja, en daar veranderen ze op, want ze hebben een tijdhorizon van 2030. Nu zegt mevrouw Jansen: allemaal leuk en aardig, maar u doet het maar eerder, want wij vinden dat belangrijk. Ik denk echt dat dat een heel duidelijk signaal is dat een betrouwbare overheid en goed bestuur niet in goede handen zijn bij NSC.","Main idea: ""NSC is not a reliable government"". </assistant>",The main idea of the sentence is that the Dutch government is not doing enough,This sentence expresses Mevrouw Jansen's belief that,"""NSC government unreliability""",Jansen downplays 2030 target,Tielen,VVD,Invoering van een registratieplicht voor verkooppunten van tabaksproducten en aanverwante producten,Mixtral,Topical,-1.9721631,0.2660733,42,"""Critique of Jansen's positions""",4
